1P	Person=1
2P	Person=2
3P	Person=3
Ad	PartType=Ad
Art	PronType=Art
Auto	Person=0
Card	NumType=Card
Cmpl	PartType=Cmpl
Com	Case=Nom
Cond	Mood=Cnd
Cop	VerbForm=Cop
Dat	Case=Dat
Def	Definite=Def
DefArt	Definite=Def
Deg	PartType=Deg
Dem	PronType=Dem
Direct	Form=Direct
Ecl	Form=Ecl
Fem	Gender=Fem
FutInd	Mood=Ind|Tense=Fut
Gen	Case=Gen
Idf	PronType=Ind
Imp	Mood=Imp
Imper	Mood=Imp
Indirect	Form=Indirect
Inf	PartType=Inf
Len	Form=Len
Masc	Gender=Masc
Neg	Polarity=Neg
NegQ	Polarity=Neg
Nm	PartType=Num
NotSlen	NounType=NotSlender
Ord	NumType=Ord
Past	Tense=Past
PastImp	Aspect=Imp|Tense=Past
PastInd	Mood=Ind|Tense=Past
Pat	PartType=Pat
Pl	Number=Plur
Poss	Poss=Yes
Pres	Tense=Pres
PresImp	Aspect=Hab|Mood=Ind|Tense=Pres
PresInd	Mood=Ind|Tense=Pres
PresSubj	Mood=Sub|Tense=Pres
Q	PronType=Int
Ref	Reflex=Yes
Rel	PronType=Rel
Sg	Number=Sing
Slender	NounType=Slender
Strong	NounType=Strong
Subj	Mood=Sub
Sup	PartType=Sup
VF	Form=VF
Vb	PartType=Vb
Weak	NounType=Weak
hPref	Form=HPref
